Shift (m), Intensity (a.u.)
-1.428781008268871673e-06,2.041152103915708303e-08
-1.428380901573753035e-06,2.040193147155676861e-08
-1.427980794878634397e-06,2.039233596809757222e-08
-1.427580688183515548e-06,2.038253896674231994e-08
-1.427180581488396910e-06,2.037261781345081416e-08
-1.426780474793278272e-06,2.036255483177768059e-08
-1.426380368098159634e-06,2.035229907944503517e-08
-1.425980261403040784e-06,2.034202287502459840e-08
-1.425580154707922146e-06,2.033152027915332535e-08
-1.425180048012803508e-06,2.032100417605377818e-08
-1.424779941317684658e-06,2.031063947533863732e-08
-1.424379834622566020e-06,2.030004493696070870e-08
-1.423979727927447382e-06,2.028932930075686164e-08
-1.423579621232328744e-06,2.027824321584625873e-08
-1.423179514537209894e-06,2.026684041927694870e-08
-1.422779407842091256e-06,2.025533156161866560e-08
-1.422379301146972618e-06,2.024370717993869148e-08
-1.421979194451853769e-06,2.023201544862074374e-08
-1.421579087756735131e-06,2.022030985707441793e-08
-1.421178981061616493e-06,2.020866982427427331e-08
-1.420778874366497855e-06,2.019720436401487836e-08
-1.420378767671379005e-06,2.018567797583897032e-08
-1.419978660976260367e-06,2.017413335429900109e-08
-1.419578554281141729e-06,2.016274540564687901e-08
-1.419178447586022879e-06,2.015139301331134689e-08
-1.418778340890904241e-06,2.013985864526622316e-08
-1.418378234195785603e-06,2.012828857962234869e-08
-1.417978127500666965e-06,2.011680583567775736e-08
-1.417578020805548115e-06,2.010538148644086323e-08
-1.417177914110429477e-06,2.009386969543976747e-08
-1.416777807415310839e-06,2.008210939907298785e-08
-1.416377700720191989e-06,2.007052129270171213e-08
-1.415977594025073351e-06,2.005877767855353748e-08
-1.415577487329954713e-06,2.004708567837658224e-08
-1.415177380634836075e-06,2.003523943637386184e-08
-1.414777273939717226e-06,2.002353414213645787e-08
-1.414377167244598588e-06,2.001208732494297674e-08
-1.413977060549479950e-06,2.000052404537637426e-08
-1.413576953854361100e-06,1.998901906785618060e-08
-1.413176847159242462e-06,1.997739529111903765e-08
-1.412776740464123824e-06,1.996574648683614368e-08
-1.412376633769005186e-06,1.995390284844955666e-08
-1.411976527073886336e-06,1.994202082025529492e-08
-1.411576420378767698e-06,1.993007775473462757e-08
-1.411176313683649060e-06,1.991820685840357998e-08
-1.410776206988530210e-06,1.990639393867459582e-08
-1.410376100293411572e-06,1.989488872867047019e-08
-1.409975993598292934e-06,1.988339580448694251e-08
-1.409575886903174296e-06,1.987197693071688067e-08
-1.409175780208055447e-06,1.986053992623293682e-08
-1.408775673512936809e-06,1.984916628189082238e-08
-1.408375566817818171e-06,1.983779558241477848e-08
-1.407975460122699321e-06,1.982660638245085680e-08
-1.407575353427580683e-06,1.981533981379166660e-08
-1.407175246732462045e-06,1.980414137171339620e-08
-1.406775140037343407e-06,1.979297881053862228e-08
-1.406375033342224557e-06,1.978184915916120936e-08
-1.405974926647105919e-06,1.977101799309197112e-08
-1.405574819951987281e-06,1.976025431321566572e-08
-1.405174713256868431e-06,1.974947589808568720e-08
-1.404774606561749793e-06,1.973866425040068822e-08
-1.404374499866631155e-06,1.972800629976597081e-08
-1.403974393171512517e-06,1.971746787269922721e-08
-1.403574286476393668e-06,1.970671556598512987e-08
-1.403174179781275030e-06,1.969580419581521414e-08
-1.402774073086156392e-06,1.968519142094925102e-08
-1.402373966391037542e-06,1.967448691999864910e-08
-1.401973859695918904e-06,1.966340466706755795e-08
-1.401573753000800266e-06,1.965228475251720341e-08
-1.401173646305681628e-06,1.964104970592145640e-08
-1.400773539610562778e-06,1.962976216859310164e-08
-1.400373432915444140e-06,1.961827189999216133e-08
-1.399973326220325502e-06,1.960677835072138037e-08
-1.399573219525206652e-06,1.959532106594616455e-08
-1.399173112830088014e-06,1.958406674330044168e-08
-1.398773006134969376e-06,1.957270494276819190e-08
-1.398372899439850738e-06,1.956130724726773485e-08
-1.397972792744731888e-06,1.955014620156414889e-08
-1.397572686049613250e-06,1.953915135957959347e-08
-1.397172579354494612e-06,1.952816021790056500e-08
-1.396772472659375763e-06,1.951718081612324905e-08
-1.396372365964257125e-06,1.950593222712756123e-08
-1.395972259269138487e-06,1.949488917603144710e-08
-1.395572152574019849e-06,1.948398488141216748e-08
-1.395172045878900999e-06,1.947307574672980289e-08
-1.394771939183782361e-06,1.946205281635368774e-08
-1.394371832488663723e-06,1.945099547667724243e-08
-1.393971725793544873e-06,1.944010852245542631e-08
-1.393571619098426235e-06,1.942912396441765925e-08
-1.393171512403307597e-06,1.941818251410005373e-08
-1.392771405708188959e-06,1.940741104199689110e-08
-1.392371299013070109e-06,1.939688554442586543e-08
-1.391971192317951471e-06,1.938655063992733236e-08
-1.391571085622832833e-06,1.937643963690693821e-08
-1.391170978927713984e-06,1.936622276180289809e-08
-1.390770872232595346e-06,1.935615648965648695e-08
-1.390370765537476708e-06,1.934626764706189097e-08
-1.389970658842358070e-06,1.933644287576829234e-08
-1.389570552147239220e-06,1.932666912447687024e-08
-1.389170445452120582e-06,1.931691787179739166e-08
